"search-number","evaluation","scale-down-pop*","town*","free-space*","always-search*","tie-houses-to-religion*","data-source*","threshold-sd*","ethnicity*","religion*","measure*","threshold-mean*","color-axis-max*","turnover*","beta-eth*","beta-rel*","neighbor-weight*","others-ignore-ethn*","stop-tick*","always-move*","ethn-rel-recommendations*","dissimilarity-religion*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","10","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","10","0.004964201155975074","2","-0.02653301205049094"
"1","30","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","10","0.015738979350835767","2","-0.0369785008564192"
"1","40","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","4","0.17","true","1000","false","true","""all""","10","0.02544477512618019","2","-0.0038468818029999715"
"2","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","10","0.026985904756755042","2","-0.03708307117979408"
"3","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","4","0.17","true","1000","false","true","""all""","10","-0.016350371394745555","2","-0.03202544221121217"
"3","20","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","10","7.270225505830778E-4","2","4.221438995307275E-4"
"3","40","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","10","0.014520599811548587","2","0.0020946536358944536"
