"search-number","evaluation","evals-requested-so-far","scale-down-pop*","town*","free-space*","always-search*","tie-houses-to-religion*","data-source*","threshold-sd*","ethnicity*","religion*","measure*","threshold-mean*","color-axis-max*","turnover*","beta-eth*","beta-rel*","neighbor-weight*","others-ignore-ethn*","stop-tick*","always-move*","ethn-rel-recommendations*","dissimilarity-religion*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","19","20","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","4","0.17","true","1000","false","true","""all""","""2106383643""","-0.41591770533566763","-0.41591770533566763","-0.41591770533566763","0","-0.41591770533566763"
"1","20","20","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","4","0.17","true","1000","false","true","""all""","""965997073""","-2.1038544258576235","-2.1038544258576235","-2.1038544258576235","0","-2.1038544258576235"
"1","21","50","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","0","0.17","true","1000","false","true","""all""","""-907749600""","0.21758384349679555","0.21758384349679555","0.21758384349679555","0","0.21758384349679555"
"1","22","50","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","0","0.17","true","1000","false","true","""all""","""-1479765981""","1.7626508204873137","1.7626508204873137","1.7626508204873137","0","1.7626508204873137"
"1","23","50","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","0","0.17","true","1000","false","true","""all""","""1572525015""","-1.678766438428987","-1.678766438428987","-1.678766438428987","0","-1.678766438428987"
"1","24","50","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","0","0.17","true","1000","false","true","""all""","""-1433214247""","-1.3791949999578683","-1.3791949999578683","-1.3791949999578683","0","-1.3791949999578683"
"1","25","50","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","0","0.17","true","1000","false","true","""all""","""-185143551""","-1.016309243020325","-1.016309243020325","-1.016309243020325","0","-1.016309243020325"
"1","26","50","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","0","0.17","true","1000","false","true","""all""","""-1231219122""","-0.35837383193610317","-0.35837383193610317","-0.35837383193610317","0","-0.35837383193610317"
"1","27","50","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","0","0.17","true","1000","false","true","""all""","""-1453312009""","3.819212857830766","3.819212857830766","3.819212857830766","0","3.819212857830766"
"1","28","50","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","0","0.17","true","1000","false","true","""all""","""145066409""","-0.9354397948306443","-0.9354397948306443","-0.9354397948306443","0","-0.9354397948306443"
"1","29","50","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","0","0.17","true","1000","false","true","""all""","""-1170809925""","-2.301519139961657","-2.301519139961657","-2.301519139961657","0","-2.301519139961657"
