"search-number","evaluation","scale-down-pop*","town*","free-space*","always-search*","tie-houses-to-religion*","data-source*","threshold-sd*","ethnicity*","religion*","measure*","threshold-mean*","color-axis-max*","turnover*","beta-eth*","beta-rel*","neighbor-weight*","others-ignore-ethn*","stop-tick*","always-move*","ethn-rel-recommendations*","dissimilarity-religion*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","630","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","4","16","0.17","true","1000","false","true","""all""","10","0.48634735049797734","10","0.4887569979736347"
"2","640","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","24","8","0.17","true","1000","false","true","""all""","10","0.4832710470950186","10","0.5018247966926874"
"3","640","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","20","28","0.17","true","1000","false","true","""all""","10","0.4871391473728286","10","0.5033630037802843"
"4","640","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","16","4","0.17","true","1000","false","true","""all""","10","0.48396538077160356","10","0.4922688801818687"
"5","640","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","4","8","0.17","true","1000","false","true","""all""","10","0.4856558017572749","10","0.48585310561552797"
